dataset, ref_frame, src_frame, overlap, all_time, all_t_err, all_r_err, pct_time, pct_t_err, pct_r_err, sigma_time, sigma_t_err, sigma_r_err, x84_time, x84_t_err, x84_r_err, dynamic_time, dynamic_t_err, dynamic_r_err, goicp_time, goicp_t_err, goicp_r_err, s4pcs_time, s4pcs_t_err, s4pcs_r_err, hmrf_time, hmrf_t_err, hmrf_r_err
freiburg2_360_kidnap, 880, 970, 0.54636, 3.89657, 1.42408, 0.12594, 3.45235, 1.21388, 0.05959, 3.62265, 1.60704, 0.05478, 5.18431, 0.55214, 0.06452, 3.61430, 1.08262, 0.05127, NaN, NaN, NaN, 2.52063, 0.00000, 0.31416, 5.17066, 0.18819, 0.20209
freiburg2_360_kidnap, 80, 140, 0.66194, 1.82794, 0.66457, 0.07827, 2.07377, 0.35152, 0.07842, 1.63590, 0.52115, 0.07383, 1.80685, 0.13396, 0.07683, 1.94696, 0.29867, 0.08239, NaN, NaN, NaN, 1.52320, 0.00000, 0.31416, 5.59286, 0.03650, 0.06760
freiburg2_360_kidnap, 810, 780, 0.77607, 1.95442, 1.12992, 0.06003, 2.66170, 0.54269, 0.05544, 2.31570, 0.86072, 0.05402, 3.15179, 0.13662, 0.05630, 2.94111, 0.33061, 0.04750, NaN, NaN, NaN, 8.99564, 0.00000, 0.31415, 8.25441, 0.03212, 0.15288
freiburg2_360_kidnap, 810, 980, 0.87080, 1.35237, 0.14933, 0.01857, 1.44931, 0.04237, 0.03091, 1.32173, 0.06772, 0.02830, 1.46649, 0.04570, 0.03020, 1.38984, 0.04613, 0.03161, NaN, NaN, NaN, 0.68970, 0.00000, 0.31416, 2.89707, 0.03899, 0.04087
freiburg2_360_kidnap, 670, 660, 0.92296, 1.04582, 0.17707, 0.04324, 1.82554, 0.15942, 0.07367, 1.48574, 0.19095, 0.04580, 1.84691, 0.16266, 0.06100, 1.68864, 0.16476, 0.06149, NaN, NaN, NaN, 3.28928, 0.00000, 0.31415, 5.65615, 0.11663, 0.12838
freiburg2_desk, 30, 510, 0.11018, 7.57179, 0.82108, 0.39383, 14.30912, 0.38779, 0.73861, 13.94642, 0.43354, 0.96586, 14.14249, 0.43512, 0.96393, 14.00179, 0.44097, 0.96016, NaN, NaN, NaN, 120.02781, NaN, NaN, 17.80927, 0.41183, 0.91049
freiburg2_desk, 810, 520, 0.29293, 5.78395, 0.30597, 0.20635, 5.94175, 0.07573, 0.16338, 3.04643, 0.12478, 0.09838, 5.36031, 0.07544, 0.16368, 5.42184, 0.07560, 0.16357, NaN, NaN, NaN, 35.47463, 0.34748, 0.44550, 6.15569, 0.13328, 0.08051
freiburg2_desk, 250, 700, 0.34357, 5.89168, 1.39365, 1.31806, 7.66376, 1.03699, 1.41325, 5.89894, 1.21801, 1.31737, 7.80351, 0.12034, 0.17417, 6.75026, 0.67180, 0.19445, NaN, NaN, NaN, 120.03660, NaN, NaN, NaN, NaN, NaN
freiburg2_desk, 410, 190, 0.42185, 3.56841, 0.39436, 0.31769, 6.94601, 0.35640, 0.37303, 3.38117, 0.27767, 0.29702, 6.25004, 0.35841, 0.37210, 6.08127, 0.43760, 0.42744, NaN, NaN, NaN, 114.82804, 0.00000, 0.31416, 9.39558, 0.10160, 0.06134
freiburg2_desk, 280, 340, 0.52865, 6.84324, 1.75630, 0.32667, 12.48513, 1.20592, 0.21136, 6.47317, 1.76606, 0.23131, 3.19629, 0.04422, 0.03770, 14.37778, 1.58156, 0.58779, NaN, NaN, NaN, 45.54073, 0.00000, 0.31416, NaN, NaN, NaN
