ref_frame, src_frame, overlap, all_time, all_t_err, all_r_err, pct_time, pct_t_err, pct_r_err, sigma_time, sigma_t_err, sigma_r_err, x84_time, x84_t_err, x84_r_err, dynamic_time, dynamic_t_err, dynamic_r_err, goicp_time, goicp_t_err, goicp_r_err, s4pcs_time, s4pcs_t_err, s4pcs_r_err, hmrf_time, hmrf_t_err, hmrf_r_err
985, 1051, 0.53865, 3.03994, 0.06797, 0.10494, 2.75659, 0.05189, 0.07085, 2.94816, 0.06867, 0.09880, 3.54173, 0.06838, 0.09662, 2.78902, 0.06814, 0.09418, NaN, NaN, NaN, 0.76696, 0.43881, 0.49574, 4.92355, 0.00764, 0.01890
1051, 937, 0.30717, 3.99940, 0.19133, 0.09548, 5.66086, 0.20849, 0.09732, 3.77845, 0.19780, 0.09180, 4.20713, 0.19502, 0.09328, 4.16606, 0.19905, 0.09258, NaN, NaN, NaN, 22.67329, 0.01210, 0.04992, 6.27210, 0.12914, 0.11104
595, 403, 0.85394, 0.87950, 0.01693, 0.08060, 0.94011, 0.00937, 0.05102, 0.66860, 0.01187, 0.06359, 0.97973, 0.00795, 0.04716, 1.00870, 0.00739, 0.04612, 0.22660, 0.01807, 0.08089, 0.32726, 0.09195, 0.04551, NaN, NaN, NaN
145, 817, 0.55794, 3.41195, 0.08048, 0.25543, 2.98532, 0.06209, 0.19172, 2.73389, 0.07413, 0.22907, 2.87459, 0.06569, 0.20283, 2.73479, 0.06765, 0.20815, NaN, NaN, NaN, 1.28686, 0.12210, 0.06920, 8.18801, 0.00949, 0.03281
157, 421, 0.59325, 2.54998, 0.05643, 0.17055, 2.02443, 0.02463, 0.07723, 1.75548, 0.02829, 0.09354, 2.19012, 0.02033, 0.06041, 2.25412, 0.01703, 0.05073, NaN, NaN, NaN, 0.49002, 0.00000, 0.31417, 5.45042, 0.00560, 0.02125
271, 1039, 0.57199, 4.12684, 0.20764, 0.09148, 2.85654, 0.11089, 0.06107, 3.43463, 0.15804, 0.07570, 3.28797, 0.09809, 0.05815, 2.69430, 0.08347, 0.04959, NaN, NaN, NaN, 2.00991, 0.43742, 0.09812, 4.41355, 0.01279, 0.02338
925, 259, 0.56809, 6.46940, 0.08770, 0.23890, 5.62835, 0.02461, 0.12754, 6.22683, 0.08923, 0.22238, 5.65975, 0.03040, 0.08126, 6.71076, 0.08818, 0.21225, NaN, NaN, NaN, 0.87014, 0.04557, 0.04409, 7.62188, 0.00443, 0.00868
253, 1033, 0.63629, 1.90150, 0.12213, 0.09444, 1.81561, 0.05604, 0.07570, 2.21621, 0.09065, 0.08431, 1.96945, 0.04058, 0.06062, 3.65132, 0.02247, 0.03972, NaN, NaN, NaN, 0.95056, 0.03798, 0.04319, 4.95026, 0.01481, 0.03146
889, 373, 0.40774, 6.55780, 0.18710, 0.46795, 7.74282, 0.13379, 0.41003, 6.77715, 0.17722, 0.45465, 6.74972, 0.18086, 0.45751, 7.50132, 0.17406, 0.45383, NaN, NaN, NaN, 6.31945, 0.04002, 0.12770, 11.25449, 0.09826, 0.34774
253, 145, 0.76315, 2.55155, 0.09661, 0.03341, 1.88687, 0.02060, 0.04251, 1.91898, 0.04525, 0.06325, 2.27945, 0.01063, 0.02241, 2.05071, 0.01460, 0.02921, 22.57220, 0.09473, 0.03026, 0.58113, 0.04326, 0.08795, 4.15593, 0.00859, 0.02043
1021, 1075, 0.63926, 1.61574, 0.03008, 0.06404, 1.91338, 0.01320, 0.03434, 1.71571, 0.02067, 0.05136, 2.06845, 0.01101, 0.02509, 1.96888, 0.01235, 0.02749, 0.22698, 0.02739, 0.06272, 0.47967, 0.34539, 2.33989, 4.04270, 0.00316, 0.01175
307, 589, 0.63635, 3.30427, 0.04688, 0.10669, 3.09159, 0.03552, 0.11893, 2.98354, 0.04831, 0.13861, 2.47639, 0.01354, 0.05415, 2.27842, 0.00432, 0.02796, NaN, NaN, NaN, 0.48142, 0.29808, 2.45433, 3.68179, 0.00186, 0.02359
211, 685, 0.62498, 3.01858, 0.06105, 0.15087, 2.58176, 0.03496, 0.05685, 2.93052, 0.05995, 0.10199, 3.34851, 0.01718, 0.01613, 3.86670, 0.01502, 0.01176, NaN, NaN, NaN, 1.20933, 0.03751, 0.12731, 4.06636, 0.02239, 0.02384
253, 901, 0.68944, 3.04268, 0.10456, 0.09165, 2.01147, 0.01673, 0.05334, 1.63255, 0.03426, 0.07201, 2.03151, 0.00911, 0.02920, 2.33808, 0.00968, 0.02670, NaN, NaN, NaN, 0.66080, 0.25696, 0.08530, 4.24531, 0.00843, 0.02810
613, 1021, 0.60217, 1.89908, 0.03122, 0.10505, 2.65887, 0.02965, 0.09483, 1.86897, 0.03264, 0.10508, 2.45667, 0.03272, 0.10229, 1.84476, 0.03274, 0.10440, NaN, NaN, NaN, 1.50577, 0.06247, 0.24442, 5.26528, 0.00268, 0.01223
439, 73, 0.19551, 5.92544, 0.12396, 0.16315, 8.14880, 0.13020, 0.07175, 5.69154, 0.12242, 0.15822, 5.76209, 0.12396, 0.16315, 5.58463, 0.12384, 0.16275, NaN, NaN, NaN, 120.04587, NaN, NaN, 21.61718, 0.16598, 0.35656
307, 739, 0.64892, 6.11913, 0.13263, 0.55940, 1.72647, 0.01320, 0.07595, 7.79502, 0.13294, 0.59326, 2.31448, 0.00656, 0.01939, 2.56502, 0.00580, 0.03141, NaN, NaN, NaN, 0.92751, 0.39101, 3.08137, 3.58262, 0.00806, 0.04160
943, 211, 0.76922, 1.53640, 0.01205, 0.04264, 1.59379, 0.00448, 0.02258, 1.38963, 0.00730, 0.03166, 1.50686, 0.00148, 0.01285, 1.65050, 0.00132, 0.01229, 0.23065, 0.01387, 0.04481, 0.44314, 0.02634, 0.03113, 3.65268, 0.00227, 0.01040
577, 649, 0.70692, 3.50533, 0.08565, 0.18631, 2.49049, 0.04547, 0.08473, 2.81738, 0.06573, 0.13466, 2.52994, 0.01231, 0.02363, 3.28106, 0.01159, 0.02010, NaN, NaN, NaN, 0.73574, 0.01211, 0.09735, 3.39389, 0.00513, 0.01665
559, 943, 0.75085, 1.49107, 0.03658, 0.10038, 1.72250, 0.01270, 0.04109, 1.84342, 0.02421, 0.07261, 1.81891, 0.00455, 0.01973, 1.96735, 0.00342, 0.01604, 0.24834, 0.03435, 0.09633, 0.71496, 0.04825, 0.15251, 3.87238, 0.00310, 0.01189
1021, 373, 0.85557, 1.03790, 0.00872, 0.02197, 1.09455, 0.00387, 0.01208, 1.06436, 0.00593, 0.01632, 1.05071, 0.00372, 0.01060, 1.04904, 0.00351, 0.01033, 0.19212, 0.01535, 0.02792, 0.35586, 0.01625, 0.04219, 1.96474, 0.00211, 0.00769
283, 493, 0.79433, 0.96871, 0.04489, 0.09404, 1.25186, 0.02061, 0.04469, 1.10765, 0.03288, 0.06685, 1.66912, 0.01231, 0.02998, 1.45131, 0.01302, 0.03291, 0.22422, 0.04225, 0.08237, 0.28341, 0.00000, 0.31417, 5.02543, 0.00775, 0.02183
835, 1075, 0.74434, 2.08535, 0.03515, 0.10179, 1.55518, 0.01709, 0.05827, 1.51270, 0.02418, 0.01792, 2.46238, 0.00534, 0.02908, 2.27384, 0.00414, 0.02373, 4.57203, 0.03705, 0.10414, 0.45349, 0.17764, 0.32552, 3.30931, 0.00391, 0.02341
835, 205, 0.65246, 6.73976, 0.17675, 0.52697, 4.81349, 0.02641, 0.12359, 7.81048, 0.17831, 0.52994, 6.71845, 0.17657, 0.52665, 6.55500, 0.17578, 0.52486, NaN, NaN, NaN, 0.94522, 0.02527, 0.00827, 5.43641, 0.00367, 0.01604
355, 1009, 0.75276, 1.90919, 0.05909, 0.04899, 1.78730, 0.01836, 0.03304, 1.43468, 0.02797, 0.04754, 1.85936, 0.00890, 0.01540, 2.09835, 0.00709, 0.01275, 0.36095, 0.06936, 0.04715, 0.67889, 0.06433, 0.19619, 3.30118, 0.00636, 0.01293
571, 295, 0.60149, 9.03763, 0.27334, 0.50702, 4.57796, 0.11682, 0.10972, 4.74802, 0.14792, 0.14703, 7.86581, 0.01270, 0.02122, 6.89865, 0.01693, 0.01811, NaN, NaN, NaN, 1.77701, 0.08596, 0.44387, 4.26926, 0.00295, 0.00908
115, 1087, 0.72090, 1.35614, 0.01517, 0.05264, 1.57500, 0.00878, 0.03060, 1.32800, 0.01027, 0.03749, 1.47098, 0.00737, 0.02608, 1.69028, 0.00728, 0.02691, 0.20329, 0.01602, 0.05699, 0.37340, 0.00000, 0.31417, 3.14382, 0.00858, 0.03923
73, 955, 0.89683, 1.37779, 0.01568, 0.03121, 2.04001, 0.00714, 0.02191, 1.41711, 0.01120, 0.02842, 1.69589, 0.00740, 0.02238, 1.66437, 0.00777, 0.02357, 0.25690, 0.01662, 0.02843, 0.31878, 0.00000, 0.31416, 3.45362, 0.00717, 0.02274
475, 367, 0.40844, 4.18687, 0.09439, 0.21893, 4.60634, 0.08442, 0.22698, 4.35882, 0.09249, 0.22426, 4.19608, 0.09301, 0.22096, 4.13391, 0.09260, 0.22282, NaN, NaN, NaN, 9.34318, 0.00444, 0.00854, 8.03010, 0.07620, 0.23825
895, 73, 0.38908, 2.45860, 0.10156, 0.11055, 3.57373, 0.13632, 0.07393, 3.37942, 0.12677, 0.08801, 3.16826, 0.13056, 0.08420, 3.54885, 0.13268, 0.08221, NaN, NaN, NaN, 9.22363, 0.05145, 0.11157, 9.32593, 0.03481, 0.03493
1039, 1081, 0.82444, 1.20680, 0.00889, 0.01232, 1.28443, 0.00352, 0.00774, 1.18599, 0.00542, 0.00986, 1.20621, 0.00248, 0.00943, 1.25020, 0.00196, 0.01046, 0.21721, 0.00855, 0.01183, 0.31626, 0.00000, 0.31416, NaN, NaN, NaN
109, 835, 0.84426, 1.15061, 0.00857, 0.02378, 1.64262, 0.00733, 0.01754, 1.25039, 0.00722, 0.01887, 1.34720, 0.00759, 0.01665, 1.28101, 0.00761, 0.01643, 0.19953, 0.00875, 0.02246, 0.31716, 0.00000, 0.31416, 4.36201, 0.01131, 0.02375
535, 313, 0.63673, 7.72242, 0.09820, 0.35037, 2.75542, 0.03314, 0.06093, 3.51244, 0.10884, 0.09592, 2.11603, 0.00886, 0.00986, 3.80090, 0.01526, 0.01095, NaN, NaN, NaN, 1.42358, 0.02267, 0.07214, 4.06805, 0.00434, 0.00914
391, 463, 0.80426, 1.26357, 0.01559, 0.04212, 1.40344, 0.00724, 0.02185, 1.36461, 0.01061, 0.02759, 1.47389, 0.00434, 0.01530, 1.36533, 0.00449, 0.01629, 0.22539, 0.01484, 0.03410, 0.33096, 0.18185, 2.48109, 2.32877, 0.01623, 0.03932
